Warning: 256-color support not detected. Using a terminal with at least 256-color support is recommended for a better visual experience.
YOLO mode is enabled. All tool calls will be automatically approved.
YOLO mode is enabled. All tool calls will be automatically approved.
Ripgrep is not available. Falling back to GrepTool.
[STARTUP] Phase 'cleanup_ops' was started but never ended. Skipping metrics.
[STARTUP] Cannot measure phase 'cleanup_ops': start mark 'startup:cleanup_ops:start' not found (likely cleared by reset).
Error executing tool list_directory: Path not in workspace: Attempted path "/data" resolves outside the allowed workspace directories: /app or the project temp directory: /root/.gemini/tmp/app
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
pgrep: /usr/bin/bash: line 4: pgrep: command not found
-0.80054000000000
