task,n_trials,rewards,pass_at_1,pass_at_3
task_03_dabstep_70_is-martinis-fine-steakhouse-in,3,0|0|0,0.000,0.000
task_05_dabstep_1305_for-account-type-h-and,3,0|0|0,0.000,0.000
task_06_dabstep_1464_what-is-the-fee-id,3,0|0|0,0.000,0.000
task_09_dabstep_1871_in-january-what-delta-would,3,0|0|0,0.000,0.000
task_10_dabstep_2697_for-belles-cookbook-store-in,3,0|0|0,0.000,0.000
task_11_dabstep_orig_belles_total_2023,3,1|1|1,1.000,1.000
task_12_dabstep_orig_belles_mcc_counterfactual,3,0|1|1,0.667,1.000
task_14_dabstep_orig_crossfit_monthly_sd,3,0|0|0,0.000,0.000

pass@1: 20.8%
pass@3: 25.0%
